Tidpunkt;Datum;Tid;Latency;Down;Up;Node
2021-05-11 03:00;2021-05-11;03:00:01;52,2629;5,89885;3,06696;svl407da349e
2021-05-11 03:10;2021-05-11;03:10:01;54,2782;5,29888;3,56745;svl4077b1e8f
2021-05-11 03:20;2021-05-11;03:20:01;51,9772;5,70752;3,14135;svl20a303b8a
2021-05-11 03:30;2021-05-11;03:30:01;49,5607;6,45674;2,96195;svl20aa0e925
2021-05-11 03:40;2021-05-11;03:40:01;51,3911;10,1199;3,36992;svl407600536
2021-05-11 03:50;2021-05-11;03:50:01;51,7;6,8874;3,31915;svl20a0371b2
2021-05-11 04:00;2021-05-11;04:00:01;49,3739;6,46256;3,42467;svl40723850d
2021-05-11 04:10;2021-05-11;04:10:01;50,2526;5,40624;3,12643;svl4075d19d8
2021-05-11 04:20;2021-05-11;04:20:01;49,9781;6,74821;3,35088;svl20ab44b94
2021-05-11 04:30;2021-05-11;04:30:01;50,2691;4,66351;2,61245;svl20a963e25
2021-05-11 04:40;2021-05-11;04:40:01;49,8469;4,62412;3,89893;svl20a0ca48d
2021-05-11 04:50;2021-05-11;04:50:01;49,5667;7,24835;2,6891;svl407fe4c2f
2021-05-11 05:00;2021-05-11;05:00:01;51,7129;3,51889;2,14314;svl4077957c0
2021-05-11 05:10;2021-05-11;05:10:01;54,2819;5,48279;2,81677;svl407385ecb
2021-05-11 05:20;2021-05-11;05:20:01;48,5702;6,05658;3,33717;svl20aa67f77
2021-05-11 05:30;2021-05-11;05:30:01;51,7085;5,06715;2,77477;svl407dd3c3c
2021-05-11 05:40;2021-05-11;05:40:01;50,5405;10,5169;3,79326;svl407a720af
2021-05-11 05:50;2021-05-11;05:50:01;55,4102;3,71906;2,6057;svl20ab46641
2021-05-11 06:00;2021-05-11;06:00:01;50,2846;5,99325;2,43574;svl4071eb41e
2021-05-11 06:10;2021-05-11;06:10:01;51,3716;8,40029;2,63591;svl20abd48ae
2021-05-11 06:20;2021-05-11;06:20:01;56,828;5,691;3,4108;svl407d8d5d1
2021-05-11 06:30;2021-05-11;06:30:01;50,2511;6,51872;1,66199;svl20a671431
2021-05-11 06:40;2021-05-11;06:40:02;48,4;2,28187;1,73642;svl4076f4b60
2021-05-11 06:50;2021-05-11;06:50:01;51,0113;2,62446;1,85796;svl40733e08c
2021-05-11 07:00;2021-05-11;07:00:01;52,0807;7,17507;2,67465;svl20aca264a
2021-05-11 07:10;2021-05-11;07:10:01;46,5451;8,25571;2,79011;svl20a522c07
2021-05-11 07:20;2021-05-11;07:20:01;54,5493;5,8957;2,96044;svl407ebd447
2021-05-11 07:30;2021-05-11;07:30:01;50,5537;2,19649;3,02262;svl407e51088
2021-05-11 07:40;2021-05-11;07:40:01;51,7083;5,96193;2,6085;svl40787ff50
2021-05-11 07:50;2021-05-11;07:50:01;50,4176;6,21948;2,53742;svl20a34f201
2021-05-11 08:00;2021-05-11;08:00:02;56,0298;3,08529;2,07222;svl40747dc8c
2021-05-11 08:10;2021-05-11;08:10:01;51,6932;5,9016;3,59003;svl20aeced48
2021-05-11 08:20;2021-05-11;08:20:01;52,4904;7,72272;4,00801;svl20ac47476
2021-05-11 08:30;2021-05-11;08:30:01;52,1369;7,75144;2,64137;svl407199d67
2021-05-11 08:40;2021-05-11;08:40:02;51,5785;2,88718;1,77406;svl20aada2fe
